ID,GameCoords_0,GameCoords_1,GameCoords_2,GameFalloffStart,GameFalloffEnd,ContinentID,LightParamsID_0,LightParamsID_1,LightParamsID_2,LightParamsID_3,LightParamsID_4,LightParamsID_5,LightParamsID_6,LightParamsID_7
1,0,0,0,0,0,0,12,13,10,13,3,0,0,0
2,-10666.671875,64,0,533.33331298828,718.36114501953,0,14,15,494,15,3,0,0,0
3,-10358.361328125,-2789.171875,0,386.77777099609,536.05554199219,0,16,15,496,15,3,0,0,0
4,-9786.671875,1573.3330078125,0,640,800,0,17,18,497,18,3,0,0,0
5,-10426.671875,-1973.333984375,-4.91666650772,310.19445800781,454.5,0,19,20,463,20,3,0,0,0
6,-11299.861328125,-3073.47265625,0,386.72222900391,563.83331298828,0,21,22,454,22,3,0,0,0
7,-7862.171875,-1074.03125,0,660.36114501953,813.63891601563,0,23,24,456,24,3,0,0,0
8,-10773.333984375,1466.666015625,0,720,880,0,17,25,497,25,3,0,0,0
9,-13333.333984375,0,0,1770.6666259766,2005.3333740234,0,26,27,409,27,3,0,0,0
12,-1552.484375,-3046.861328125,233.62126159668,35.32273483276,60.03237533569,0,30,31,10,31,3,0,0,0
13,-106,-733.78125,464.9333190918,24.89477729797,24.89477729797,0,32,33,10,33,3,0,0,0
14,-10376.076171875,-4017.1328125,22.72459602356,743.94445800781,853.33331298828,0,16,15,496,15,3,0,0,0
15,-10707.28125,-1058.046875,25.05819129944,666.66668701172,879.38891601563,0,14,15,494,15,3,0,0,0
16,-5161.328125,-1442.015625,435.77481079102,999.31134033203,1214.2452392578,0,34,35,406,35,3,0,0,0
17,-11021.171875,-2023.140625,65.13889312744,307.44445800781,405.91665649414,0,19,20,463,20,3,0,0,0
18,-10213.333984375,-1386.671875,0,186.66667175293,213.33332824707,0,14,15,494,15,3,0,0,0
19,-12041.5,-2450.28125,0,450.48706054688,529.36114501953,0,916,37,36,37,3,0,0,0
20,-7978.671875,-2570.671875,0,704,832,0,23,24,456,24,3,0,0,0
21,-6730.671875,-3733.333984375,322.73056030273,29.30805397034,30.90694618225,0,28,24,493,24,3,0,0,0
22,-5289.171875,21.416015625,235.55555725098,736.77777099609,879.72222900391,0,34,35,406,35,3,0,0,0
23,-6314.671875,469.328125,192,533.33331298828,576,0,34,35,406,35,3,0,0,0
24,-5802.671875,-234.671875,149.33332824707,576,682.66668701172,0,34,35,406,35,3,0,0,0
26,-5354.671875,-3413.333984375,431.5666809082,20.67899894714,20.67899894714,0,38,39,470,39,3,0,0,0
27,2709.3330078125,42.666015625,0,984.61114501953,1436.7222900391,0,40,39,407,39,3,0,0,0
28,277.328125,1378.0546875,380.49444580078,14.92575073242,14.92575073242,0,41,42,472,42,3,0,0,0
29,2133.3330078125,1471.99609375,0,522.44445800781,838.08331298828,0,40,43,407,43,3,0,0,0
30,1853.6923828125,-2961.640625,0,413.61111450195,634.52777099609,0,44,45,457,45,3,0,0,0
31,1779.103515625,-1740.59375,344.25445556641,13.9305973053,13.9305973053,0,46,45,473,45,3,0,0,0
33,2410.666015625,-2496,0,339.13888549805,459.5,0,48,45,457,45,3,0,0,0
34,959.99609375,-1822.6953125,21.30555534363,56.52777862549,92.52777862549,0,49,45,473,45,3,0,0,0
36,106.6660232544,-2613.333984375,0,500.66665649414,870.75,0,51,45,10,45,3,0,0,0
37,266.666015625,-3872,0,663.94445800781,1121.0833740234,0,51,52,10,52,3,0,0,0
38,826.8330078125,-4006.9453125,0,239.22222900391,326.52777099609,0,53,24,10,24,3,0,0,0
39,-14352.97265625,487.609375,0,152.38888549805,228.58332824707,0,26,27,409,27,3,0,0,0
40,-10324.806640625,370.416015625,46.19444656372,35.52777862549,76.19444274902,0,54,27,494,27,3,0,0,0
41,-10452,-445.22265625,0,130.61111450195,250.33332824707,0,55,27,469,27,3,0,0,0
42,2597.6923828125,-4303.78125,0,1280,1653.1389160156,0,56,37,444,37,3,0,0,0
43,2480.4990234375,-3752.556640625,143,193.38888549805,281.55557250977,0,57,37,457,37,3,0,0,0
44,572.416015625,-487.611328125,0,261.22222900391,478.91665649414,0,427,45,422,45,3,0,0,0
45,-2066.75,-1250.861328125,0,119.72222137451,674.83331298828,0,30,45,10,45,3,0,0,0
46,3041.859375,-3686.056640625,149.13888549805,229.75,404.77777099609,0,59,33,457,33,3,0,0,0
47,2705.9423828125,-5475.833984375,106.52777862549,182.33332824707,306.33334350586,0,57,31,457,31,3,0,0,0
48,3851.498046875,-3427.390625,149.13888549805,426.66665649414,557.94445800781,0,60,45,60,45,3,0,0,0
49,3858.88671875,-3242.919921875,114.52777862549,62.58333206177,164.11111450195,0,61,45,61,45,3,0,0,0
50,-8275.6953125,-1683.22265625,56.30555725098,251.61111450195,339.13888549805,0,23,45,456,45,3,0,0,0
51,-8480.361328125,548.27734375,80.91666412354,65.63889312744,84.52777862549,0,62,24,10,24,3,0,0,0
52,-8405.53125,620.888671875,70.91666412354,62.63888931274,89.63889312744,0,62,24,10,24,3,0,0,0
53,2365.0546875,-873.583984375,63.91666793823,262.55557250977,404.77777099609,0,40,24,407,24,3,0,0,0
54,-13333.333984375,13866.6640625,0,2516.25,2647.5278320312,0,12,63,10,63,3,0,0,0
55,-1424.9453125,455.0546875,-54.69444656372,267.80557250977,347.13888549805,0,64,13,10,13,3,0,0,0
56,-1329.72265625,555.27734375,167.36111450195,87.52777862549,142.22222900391,0,65,66,10,66,3,0,0,0
57,-11953.056640625,-1598,0,306.33334350586,601.72222900391,0,67,66,10,66,3,0,0,0
58,-3345.140625,-2705.9453125,637.12225341797,25.40894508362,25.42430686951,0,29,13,499,13,3,0,0,0
59,-13884.279296875,12311.581054688,-202.36111450195,164.11111450195,231.69444274902,0,68,27,10,27,3,0,0,0
60,-13913.279296875,12541.638671875,-234.36111450195,149.80555725098,231.80555725098,0,69,13,10,13,3,0,0,0
61,-4.3125,-1565,176.13888549805,104.75,154.27778625488,0,70,71,10,71,3,0,0,0
63,-404.833984375,-3984.361328125,191.75,218.80555725098,295.38888549805,0,72,52,10,52,3,0,0,0
64,-10972.9453125,-2660.333984375,0,160.05555725098,251.61111450195,0,21,45,454,45,3,0,0,0
65,-10977.333984375,-3418.390625,47.30555725098,123.22222137451,229.75,0,21,45,454,45,3,0,0,0
66,-10800.5,-3002.25,27.69444465637,87.52777862549,207.86111450195,0,21,22,454,22,3,0,0,0
68,-10078.056640625,-3217.310546875,0,153.16667175293,240.69444274902,0,16,22,496,22,3,0,0,0
69,-11230.642578125,-2837.78125,151.13888549805,43.75,76.58333587646,0,74,15,74,15,3,0,0,0
