ID,Name,Texture_0,Texture_1,Texture_2,Texture_3,Texture_4,Texture_5,Flags,SoundBank,SoundID,SpellID,MaxDarkenDepth,FogDarkenIntensity,AmbDarkenIntensity,DirDarkenIntensity,LightID,ParticleScale,ParticleMovement,ParticleTexSlots,MaterialID,MinimapStaticCol,FrameCountTexture_0,FrameCountTexture_1,FrameCountTexture_2,FrameCountTexture_3,FrameCountTexture_4,FrameCountTexture_5,Color_0,Color_1,Float_0,Float_1,Float_2,Float_3,Float_4,Float_5,Float_6,Float_7,Float_8,Float_9,Float_10,Float_11,Float_12,Float_13,Float_14,Float_15,Float_16,Float_17,Int_0,Int_1,Int_2,Int_3,Coefficient_0,Coefficient_1,Coefficient_2,Coefficient_3
1,Water,XTextures\river\lake_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,90,1,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
2,Ocean,XTextures\ocean\ocean_h.%d.blp,proceduralOceanDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,1039,1,1114,0,30,0.5,0.5,0.25,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,90,0.69999998808,1,0.25,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,1,2,0,0,1,1250,1,0,-0.00321388245,1.01156616211,0.00262451172,0.00970458984
3,Magma,XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3072,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
4,Slime,XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,0,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
5,"Slow Water",XTextures\river\lake_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1112,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,90,0.69999998808,0.5,0.5,0.20000000298,0.5,0.20000000298,0.10000000149,1,0.69999998808,2.5,0,0,0,1250,0,0,-0.00321388245,1.01156616211,0.00262451172,0.00970458984
6,"Slow Ocean",XTextures\ocean\ocean_h.%d.blp,proceduralOceanDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,1039,1,1114,0,30,0.5,0.5,0.25,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,0,0.5,1,0.25,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,1,2,0,0,1,1250,0,0,-0.00321388245,1.01156616211,0.00262451172,0.00970458984
7,"Slow Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3052,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.01999999955,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
8,"Slow Slime",XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,0,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
9,"Fast Water",XTextures\river\fast_a.%d.blp,proceduralRiverDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1113,0,0,0,0,0,0,1,0,0,1,-1626169131,16,1,1,1,1,1,0,0,1,0,1,1,2.5,90,0.5,0.5,0.5,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.5,2.5,0,0,0,1250,0,0,0,0,0,0
10,"Fast Ocean",XTextures\ocean\ocean_h.%d.blp,proceduralOceanDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,1039,1,1114,0,30,0.5,0.5,0.25,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,1,2.5,0,0.5,1,0.25,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,1,2,0,0,1,1250,0,0,-0.00321388245,1.01156616211,0.00262451172,0.00970458984
11,"Fast Magma",XTextures\lava\lava.%d.blp,XTextures\lava\Magma0,XTextures\lava\Magma1,XTextures\lava\Magma2,,,120,2,3052,0,0,0,0,0,7,4,1,1,2,-3119104,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
12,"Fast Slime",XTextures\slime\slime.%d.blp,XTextures\slime\Slime0,XTextures\slime\Slime1,XTextures\slime\Slime2,,,322,3,3880,0,0,0,0,0,6,0,0,0,2,-11879876,30,1,1,1,1,1,0,0,0.02500000037,0,0.02500000037,0,0.55000001192,0.44999998808,0.34999999404,0,0,0,1,0.05000000075,0,0,0,0,0,0,0,0,16737792,0,0,0,0,0
13,"WMO Water",XTextures\river\lake_a.%d.blp,proceduralWmoWaterTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,15,0,1111,0,0,0,0,0,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,1,0,1,0.25,0.5,270,0.5,1,1,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,0.69999998808,1,0,0,1,1250,0,0,0,0,0,0
14,"WMO Ocean",XTextures\ocean\ocean_h.%d.blp,proceduralOceanDepthTex,XTextures\ocean\newoceanbump.blp,XTextures\foam\waterchop7bw.blp,,,1551,1,1114,0,30,0.5,0.5,0.25,0,1,0,0,1,-1626169131,30,1,1,1,1,1,0,0,0.25,180,1,0.25,0.625,270,0.5,1,0.25,0.20000000298,0.69999998808,0.20000000298,0.10000000149,1,1,2,0,0,1,1250,0,0,-0.00321388245,1.01156616211,0.00262451172,0.00970458984
